Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC,XGBoost Train Time,XGBoost Val Inference Time
bloodmnist,224,"PubMedCLIP,CONCH,Hibou-B,UNI2",self_attention,256,1,0.9801,0.9996,0.0,0.0,3.66,0.07
bloodmnist,224,"PubMedCLIP,CONCH,CheXagent,UNI2",self_attention,256,1,0.9673,0.9989,0.0,0.0,3.93,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Prov-GigaPath",self_attention,256,1,0.969,0.9984,0.0,0.0,3.97,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Hibou-B",self_attention,256,1,0.9766,0.9994,0.0,0.0,3.72,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,CheXagent",self_attention,256,1,0.9626,0.9991,0.0,0.0,3.97,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,UNI2",self_attention,256,1,0.9609,0.9988,0.0,0.0,4.07,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9761,0.9995,0.0,0.0,3.77,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent",self_attention,256,1,0.955,0.9984,0.0,0.0,4.23,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,UNI2",self_attention,256,1,0.9521,0.9981,0.0,0.0,4.42,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,Hibou-B,CheXagent",self_attention,256,1,0.9766,0.9995,0.0,0.0,3.79,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,Hibou-B,UNI2",self_attention,256,1,0.9737,0.9993,0.0,0.0,3.79,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,CheXagent,UNI2",self_attention,256,1,0.9644,0.9979,0.0,0.0,4.11,0.07
bloodmnist,224,"PubMedCLIP,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9778,0.9995,0.0,0.0,3.78,0.07
bloodmnist,224,"PubMedCLIP,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9685,0.999,0.0,0.0,3.87,0.07
bloodmnist,224,"PubMedCLIP,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9673,0.9988,0.0,0.0,3.96,0.07
bloodmnist,224,"PubMedCLIP,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9755,0.9996,0.0,0.0,3.7,0.06
bloodmnist,224,"PubMedCLIP,UNI,Hibou-B,UNI2",self_attention,256,1,0.9731,0.9993,0.0,0.0,3.77,0.06
bloodmnist,224,"PubMedCLIP,UNI,CheXagent,UNI2",self_attention,256,1,0.9702,0.999,0.0,0.0,3.88,0.07
bloodmnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9801,0.9995,0.0,0.0,3.63,0.07
bloodmnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9761,0.9995,0.0,0.0,3.71,0.06
bloodmnist,224,"PubMedCLIP,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9644,0.9986,0.0,0.0,4.05,0.07
bloodmnist,224,"PubMedCLIP,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9807,0.9993,0.0,0.0,3.63,0.06
bloodmnist,224,"CONCH,rad-dino,UNI,Prov-GigaPath",self_attention,256,1,0.9632,0.9987,0.0,0.0,3.96,0.07
bloodmnist,224,"CONCH,rad-dino,UNI,Hibou-B",self_attention,256,1,0.9825,0.9996,0.0,0.0,3.74,0.06
bloodmnist,224,"CONCH,rad-dino,UNI,CheXagent",self_attention,256,1,0.9614,0.9986,0.0,0.0,3.92,0.07
bloodmnist,224,"CONCH,rad-dino,UNI,UNI2",self_attention,256,1,0.9731,0.999,0.0,0.0,3.97,0.07
bloodmnist,224,"CONCH,rad-dino,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9784,0.9995,0.0,0.0,3.66,0.06
bloodmnist,224,"CONCH,rad-dino,Prov-GigaPath,CheXagent",self_attention,256,1,0.9661,0.9989,0.0,0.0,4.06,0.07
bloodmnist,224,"CONCH,rad-dino,Prov-GigaPath,UNI2",self_attention,256,1,0.9614,0.9989,0.0,0.0,4.08,0.06
bloodmnist,224,"CONCH,rad-dino,Hibou-B,CheXagent",self_attention,256,1,0.9761,0.9995,0.0,0.0,3.68,0.06
bloodmnist,224,"CONCH,rad-dino,Hibou-B,UNI2",self_attention,256,1,0.9778,0.9993,0.0,0.0,3.77,0.06
bloodmnist,224,"CONCH,rad-dino,CheXagent,UNI2",self_attention,256,1,0.9673,0.9991,0.0,0.0,3.98,0.07
bloodmnist,224,"CONCH,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9796,0.9996,0.0,0.0,3.72,0.07
bloodmnist,224,"CONCH,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9755,0.9994,0.0,0.0,3.8,0.06
bloodmnist,224,"CONCH,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9673,0.9988,0.0,0.0,3.91,0.07
bloodmnist,224,"CONCH,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9766,0.9994,0.0,0.0,3.7,0.06
bloodmnist,224,"CONCH,UNI,Hibou-B,UNI2",self_attention,256,1,0.9784,0.9993,0.0,0.0,3.67,0.06
bloodmnist,224,"CONCH,UNI,CheXagent,UNI2",self_attention,256,1,0.9685,0.9993,0.0,0.0,3.84,0.06
bloodmnist,224,"CONCH,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9801,0.9997,0.0,0.0,3.69,0.06
bloodmnist,224,"CONCH,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9731,0.9995,0.0,0.0,3.69,0.06
bloodmnist,224,"CONCH,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9749,0.9994,0.0,0.0,3.94,0.07
bloodmnist,224,"CONCH,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.979,0.9995,0.0,0.0,3.68,0.06
bloodmnist,224,"rad-dino,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9731,0.9993,0.0,0.0,3.81,0.07
bloodmnist,224,"rad-dino,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9696,0.999,0.0,0.0,4.0,0.07
bloodmnist,224,"rad-dino,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9685,0.999,0.0,0.0,4.11,0.07
bloodmnist,224,"rad-dino,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9737,0.9993,0.0,0.0,3.78,0.06
bloodmnist,224,"rad-dino,UNI,Hibou-B,UNI2",self_attention,256,1,0.9772,0.9994,0.0,0.0,3.79,0.07
bloodmnist,224,"rad-dino,UNI,CheXagent,UNI2",self_attention,256,1,0.969,0.9991,0.0,0.0,4.07,0.07
bloodmnist,224,"rad-dino,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9755,0.9994,0.0,0.0,3.76,0.06
bloodmnist,224,"rad-dino,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9761,0.9991,0.0,0.0,3.76,0.06
bloodmnist,224,"rad-dino,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9515,0.9976,0.0,0.0,4.14,0.07
bloodmnist,224,"rad-dino,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9766,0.9993,0.0,0.0,3.76,0.06
bloodmnist,224,"UNI,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9848,0.9997,0.0,0.0,3.74,0.07
bloodmnist,224,"UNI,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9772,0.999,0.0,0.0,3.79,0.07
bloodmnist,224,"UNI,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9725,0.9994,0.0,0.0,3.97,0.06
bloodmnist,224,"UNI,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9761,0.9994,0.0,0.0,3.7,0.06
bloodmnist,224,"Prov-GigaPath,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9796,0.9996,0.0,0.0,3.72,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino,UNI",self_attention,256,1,0.9562,0.9982,0.0,0.0,4.09,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino,Prov-GigaPath",self_attention,256,1,0.9585,0.9985,0.0,0.0,4.2,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino,Hibou-B",self_attention,256,1,0.9632,0.9985,0.0,0.0,4.04,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino,CheXagent",self_attention,256,1,0.948,0.9978,0.0,0.0,4.13,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,rad-dino,UNI2",self_attention,256,1,0.9521,0.9979,0.0,0.0,4.19,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI,Prov-GigaPath",self_attention,256,1,0.965,0.9989,0.0,0.0,4.02,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI,Hibou-B",self_attention,256,1,0.9737,0.9992,0.0,0.0,3.87,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI,CheXagent",self_attention,256,1,0.9556,0.9983,0.0,0.0,4.09,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,UNI,UNI2",self_attention,256,1,0.9667,0.9991,0.0,0.0,4.03,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9749,0.9994,0.0,0.0,3.85,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Prov-GigaPath,CheXagent",self_attention,256,1,0.9568,0.9985,0.0,0.0,4.19,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Prov-GigaPath,UNI2",self_attention,256,1,0.9579,0.9976,0.0,0.0,4.15,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Hibou-B,CheXagent",self_attention,256,1,0.9679,0.999,0.0,0.0,3.98,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,Hibou-B,UNI2",self_attention,256,1,0.9667,0.9989,0.0,0.0,3.96,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,CONCH,CheXagent,UNI2",self_attention,256,1,0.9533,0.9984,0.0,0.0,4.11,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,Prov-GigaPath",self_attention,256,1,0.9609,0.9981,0.0,0.0,4.12,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,Hibou-B",self_attention,256,1,0.9655,0.9987,0.0,0.0,4.02,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,CheXagent",self_attention,256,1,0.9591,0.9985,0.0,0.0,4.1,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,UNI,UNI2",self_attention,256,1,0.9655,0.9988,0.0,0.0,4.12,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9597,0.9988,0.0,0.0,4.08,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent",self_attention,256,1,0.9539,0.998,0.0,0.0,4.25,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Prov-GigaPath,UNI2",self_attention,256,1,0.948,0.9971,0.0,0.0,4.21,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Hibou-B,CheXagent",self_attention,256,1,0.9661,0.9989,0.0,0.0,3.96,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,Hibou-B,UNI2",self_attention,256,1,0.9632,0.9989,0.0,0.0,3.91,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,rad-dino,CheXagent,UNI2",self_attention,256,1,0.9504,0.9979,0.0,0.0,4.3,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9679,0.999,0.0,0.0,3.87,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9585,0.9984,0.0,0.0,4.09,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9614,0.9984,0.0,0.0,4.06,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9644,0.9991,0.0,0.0,3.97,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI,Hibou-B,UNI2",self_attention,256,1,0.9661,0.9989,0.0,0.0,3.96,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,UNI,CheXagent,UNI2",self_attention,256,1,0.962,0.9982,0.0,0.0,4.14,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9638,0.9985,0.0,0.0,4.05,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9714,0.9992,0.0,0.0,3.97,0.06
bloodmnist,224,"BioMedCLIP,PubMedCLIP,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.948,0.9972,0.0,0.0,4.27,0.07
bloodmnist,224,"BioMedCLIP,PubMedCLIP,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9685,0.9989,0.0,0.0,4.05,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,Prov-GigaPath",self_attention,256,1,0.9591,0.9983,0.0,0.0,4.07,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,Hibou-B",self_attention,256,1,0.9673,0.9988,0.0,0.0,3.94,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,CheXagent",self_attention,256,1,0.9504,0.9978,0.0,0.0,4.04,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,UNI,UNI2",self_attention,256,1,0.9562,0.998,0.0,0.0,4.15,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9731,0.9991,0.0,0.0,3.9,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,Prov-GigaPath,CheXagent",self_attention,256,1,0.9597,0.9984,0.0,0.0,4.15,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,Prov-GigaPath,UNI2",self_attention,256,1,0.9428,0.9972,0.0,0.0,4.23,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,Hibou-B,CheXagent",self_attention,256,1,0.9679,0.9989,0.0,0.0,3.96,0.07
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,Hibou-B,UNI2",self_attention,256,1,0.969,0.999,0.0,0.0,3.9,0.06
bloodmnist,224,"BioMedCLIP,CONCH,rad-dino,CheXagent,UNI2",self_attention,256,1,0.9521,0.9979,0.0,0.0,4.1,0.07
bloodmnist,224,"BioMedCLIP,CONCH,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9667,0.9988,0.0,0.0,3.9,0.06
bloodmnist,224,"BioMedCLIP,CONCH,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9585,0.9979,0.0,0.0,4.04,0.07
bloodmnist,224,"BioMedCLIP,CONCH,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9609,0.998,0.0,0.0,4.07,0.07
bloodmnist,224,"BioMedCLIP,CONCH,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9696,0.999,0.0,0.0,4.05,0.07
bloodmnist,224,"BioMedCLIP,CONCH,UNI,Hibou-B,UNI2",self_attention,256,1,0.9673,0.999,0.0,0.0,3.85,0.07
bloodmnist,224,"BioMedCLIP,CONCH,UNI,CheXagent,UNI2",self_attention,256,1,0.9504,0.9981,0.0,0.0,4.12,0.07
bloodmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9685,0.9989,0.0,0.0,3.91,0.07
bloodmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9685,0.9987,0.0,0.0,3.93,0.06
bloodmnist,224,"BioMedCLIP,CONCH,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9603,0.9985,0.0,0.0,4.15,0.07
bloodmnist,224,"BioMedCLIP,CONCH,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9714,0.9992,0.0,0.0,3.88,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.969,0.9989,0.0,0.0,3.94,0.06
bloodmnist,224,"BioMedCLIP,rad-dino,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9591,0.9982,0.0,0.0,4.13,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9568,0.9984,0.0,0.0,4.05,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9679,0.9986,0.0,0.0,3.91,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,UNI,Hibou-B,UNI2",self_attention,256,1,0.9725,0.999,0.0,0.0,3.86,0.06
bloodmnist,224,"BioMedCLIP,rad-dino,UNI,CheXagent,UNI2",self_attention,256,1,0.9655,0.9989,0.0,0.0,3.95,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9673,0.9988,0.0,0.0,3.97,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9614,0.9986,0.0,0.0,4.12,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9509,0.9981,0.0,0.0,4.13,0.07
bloodmnist,224,"BioMedCLIP,rad-dino,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9661,0.9989,0.0,0.0,3.96,0.07
bloodmnist,224,"BioMedCLIP,UNI,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9661,0.9986,0.0,0.0,4.06,0.07
bloodmnist,224,"BioMedCLIP,UNI,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9714,0.9993,0.0,0.0,3.95,0.07
bloodmnist,224,"BioMedCLIP,UNI,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9585,0.9984,0.0,0.0,4.12,0.07
bloodmnist,224,"BioMedCLIP,UNI,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9667,0.9989,0.0,0.0,3.96,0.07
bloodmnist,224,"BioMedCLIP,Prov-GigaPath,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9673,0.9986,0.0,0.0,3.97,0.07
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,UNI,Prov-GigaPath",self_attention,256,1,0.969,0.9987,0.0,0.0,3.94,0.07
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,UNI,Hibou-B",self_attention,256,1,0.9766,0.9996,0.0,0.0,3.75,0.06
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,UNI,CheXagent",self_attention,256,1,0.9673,0.9991,0.0,0.0,3.91,0.07
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,UNI,UNI2",self_attention,256,1,0.9644,0.9986,0.0,0.0,3.95,0.07
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9766,0.9994,0.0,0.0,3.72,0.06
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,Prov-GigaPath,CheXagent",self_attention,256,1,0.969,0.999,0.0,0.0,4.08,0.07
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,Prov-GigaPath,UNI2",self_attention,256,1,0.9614,0.9986,0.0,0.0,4.07,0.07
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,Hibou-B,CheXagent",self_attention,256,1,0.9778,0.9996,0.0,0.0,3.67,0.06
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,Hibou-B,UNI2",self_attention,256,1,0.9737,0.9995,0.0,0.0,3.79,0.06
bloodmnist,224,"PubMedCLIP,CONCH,rad-dino,CheXagent,UNI2",self_attention,256,1,0.965,0.999,0.0,0.0,4.04,0.07
bloodmnist,224,"PubMedCLIP,CONCH,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9831,0.9996,0.0,0.0,3.74,0.06
bloodmnist,224,"PubMedCLIP,CONCH,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9766,0.9994,0.0,0.0,3.89,0.07
bloodmnist,224,"PubMedCLIP,CONCH,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9702,0.9988,0.0,0.0,3.86,0.07
bloodmnist,224,"PubMedCLIP,CONCH,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9766,0.9995,0.0,0.0,3.71,0.06
bloodmnist,224,"PubMedCLIP,CONCH,UNI,Hibou-B,UNI2",self_attention,256,1,0.9772,0.9996,0.0,0.0,3.72,0.07
bloodmnist,224,"PubMedCLIP,CONCH,UNI,CheXagent,UNI2",self_attention,256,1,0.9644,0.9989,0.0,0.0,3.88,0.06
bloodmnist,224,"PubMedCLIP,CONCH,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9731,0.9995,0.0,0.0,3.73,0.06
bloodmnist,224,"PubMedCLIP,CONCH,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9784,0.9994,0.0,0.0,3.71,0.06
bloodmnist,224,"PubMedCLIP,CONCH,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9725,0.9993,0.0,0.0,3.94,0.07
bloodmnist,224,"PubMedCLIP,CONCH,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9761,0.9994,0.0,0.0,3.72,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9725,0.9994,0.0,0.0,3.84,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9632,0.9991,0.0,0.0,4.03,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9661,0.9987,0.0,0.0,3.99,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9772,0.9994,0.0,0.0,3.78,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,Hibou-B,UNI2",self_attention,256,1,0.9696,0.9993,0.0,0.0,3.85,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,UNI,CheXagent,UNI2",self_attention,256,1,0.9574,0.9985,0.0,0.0,4.09,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9731,0.9993,0.0,0.0,3.77,0.06
bloodmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9731,0.9993,0.0,0.0,3.81,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9579,0.9986,0.0,0.0,4.21,0.07
bloodmnist,224,"PubMedCLIP,rad-dino,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9755,0.9993,0.0,0.0,3.81,0.07
bloodmnist,224,"PubMedCLIP,UNI,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9755,0.9995,0.0,0.0,3.77,0.07
bloodmnist,224,"PubMedCLIP,UNI,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9772,0.9995,0.0,0.0,3.79,0.06
bloodmnist,224,"PubMedCLIP,UNI,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9714,0.9993,0.0,0.0,3.88,0.06
bloodmnist,224,"PubMedCLIP,UNI,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9761,0.9994,0.0,0.0,3.68,0.06
bloodmnist,224,"PubMedCLIP,Prov-GigaPath,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9761,0.9992,0.0,0.0,3.74,0.06
bloodmnist,224,"CONCH,rad-dino,UNI,Prov-GigaPath,Hibou-B",self_attention,256,1,0.9761,0.9992,0.0,0.0,3.79,0.07
bloodmnist,224,"CONCH,rad-dino,UNI,Prov-GigaPath,CheXagent",self_attention,256,1,0.9708,0.9989,0.0,0.0,3.92,0.07
bloodmnist,224,"CONCH,rad-dino,UNI,Prov-GigaPath,UNI2",self_attention,256,1,0.9644,0.9988,0.0,0.0,3.9,0.07
bloodmnist,224,"CONCH,rad-dino,UNI,Hibou-B,CheXagent",self_attention,256,1,0.9761,0.9994,0.0,0.0,3.75,0.07
bloodmnist,224,"CONCH,rad-dino,UNI,Hibou-B,UNI2",self_attention,256,1,0.9743,0.9993,0.0,0.0,3.74,0.06
bloodmnist,224,"CONCH,rad-dino,UNI,CheXagent,UNI2",self_attention,256,1,0.9661,0.9991,0.0,0.0,3.88,0.07
bloodmnist,224,"CONCH,rad-dino,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9784,0.9994,0.0,0.0,3.75,0.06
bloodmnist,224,"CONCH,rad-dino,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9772,0.9994,0.0,0.0,3.81,0.07
bloodmnist,224,"CONCH,rad-dino,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.972,0.9991,0.0,0.0,4.06,0.07
bloodmnist,224,"CONCH,rad-dino,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9784,0.9995,0.0,0.0,3.74,0.07
bloodmnist,224,"CONCH,UNI,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9784,0.9994,0.0,0.0,3.71,0.07
bloodmnist,224,"CONCH,UNI,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.9731,0.9994,0.0,0.0,3.73,0.06
bloodmnist,224,"CONCH,UNI,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9702,0.9991,0.0,0.0,3.83,0.07
bloodmnist,224,"CONCH,UNI,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9772,0.9994,0.0,0.0,3.74,0.06
bloodmnist,224,"CONCH,Prov-GigaPath,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9772,0.9994,0.0,0.0,3.75,0.06
bloodmnist,224,"rad-dino,UNI,Prov-GigaPath,Hibou-B,CheXagent",self_attention,256,1,0.9749,0.9994,0.0,0.0,3.74,0.07
bloodmnist,224,"rad-dino,UNI,Prov-GigaPath,Hibou-B,UNI2",self_attention,256,1,0.972,0.9994,0.0,0.0,3.82,0.07
bloodmnist,224,"rad-dino,UNI,Prov-GigaPath,CheXagent,UNI2",self_attention,256,1,0.9696,0.9991,0.0,0.0,4.01,0.07
bloodmnist,224,"rad-dino,UNI,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9708,0.9994,0.0,0.0,3.8,0.06
bloodmnist,224,"rad-dino,Prov-GigaPath,Hibou-B,CheXagent,UNI2",self_attention,256,1,0.9708,0.9991,0.0,0.0,3.74,0.07
